Player Name,Credits,Player Type,Team,Innings,Runs,Balls Faced,Fours,Sixes,Batting Average,Strike Rate,Boundary_Percentage,Innings_X,Balls Bowled,Runs_Conceded,Wickets,Bowling  Average,Economy Rate,Bowling  Strike_rate,Dream11_Avg,AVERAGE_POINTS,Dream_11_2024_avg,Weighted_Score,RECENT_FORM
Vipraj Nigam,5,Bowler,Delhi Capitals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.5,0,38.025,48.95833
Dushmantha Chameera,7,Bowler,Delhi Capitals,8,43,28,3,3,10.75,153.5714286,69.76744186,13,282,432,9,48,9.19,31.33,27.76923,40,15,28.7515381,38.5
Donovan Ferreira,7,Batter,Delhi Capitals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,8.9,4
Ajay Mandal,6.5,All-rounder,Delhi Capitals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manvanth Kumar L,5.5,All-rounder,Delhi Capitals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhav Tiwari,5,All-rounder,Delhi Capitals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripurana Vijay,5.5,Bowler,Delhi Capitals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashid-Khan,9,Bowler,Gujarat Titans,60,545,337,39,38,14.73,161.7210682,70.4587156,121,2859,3252,149,21.83,6.82,19.19,47.28926,38.6,50,45.1919522,41.66667
Shubman Gill,9,Batter,Gujarat Titans,100,3216,2370,310,95,37.84,135.6962025,56.28109453,0,0,0,0,0,0,0,51.76,92.7,56,65.3842,87.875
Sai Sudharsan,8,Batter,Gujarat Titans,25,1034,743,95,31,47,139.1655451,54.73887814,0,0,0,0,0,0,0,70,99.6,64,77.856,95.91667
Rahul Tewatia,7,All-rounder,Gujarat Titans,65,1013,752,84,47,25.33,134.7074468,61.00691017,52,843,1111,32,34.72,7.91,26.34,40.84615,18.2,34,32.3196905,18.875
Shahrukh Khan,7.5,Batter,Gujarat Titans,38,553,391,35,37,19.75,141.4322251,65.46112116,2,12,15,0,0,7.5,0,26.05263,22.1,32,26.1357361,22.95833
Kagiso Rabada,8.5,Bowler,Gujarat Titans,31,206,193,16,8,12.12,106.7357513,54.36893204,80,1818,2570,117,21.97,8.48,15.54,50.775,47.25,48,49.07175,52.41667
Jos Buttler,9,Batter/Wicketkeeper,Gujarat Titans,106,3582,2428,355,161,38.11,147.5288303,66.61083194,0,0,0,0,0,0,0,57.71698,98.8,58,70.5149806,96.625
Mohammed Siraj,8,Bowler,Gujarat Titans,25,109,119,10,4,10.9,91.59663866,58.71559633,93,1958,2822,93,30.34,8.65,21.05,33.86022,60.2,42,43.8163034,63.83333
Prasidh Krishna,7.5,Bowler,Gujarat Titans,10,9,24,0,0,3,37.5,0,51,1145,1703,49,34.76,8.92,23.37,37,75.2,40,51,81.375
Nishant Sindhu,6,All-rounder,Gujarat Titans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahipal Lomror,6.5,Batter,Gujarat Titans,35,527,373,33,30,18.17,141.2868633,59.20303605,11,90,127,1,127,8.47,90,24.88571,0,23,23.0757115,0
